hsi_sample_id,y_true,source,location,type,mycotoxin,y_pred
"Trilogy-RM-4,6PPB-57",4.6,TRM,TRM,GR,AFLA,4.7
"Trilogy-RM-AFLA-310,5PPB-74",310.0,TRM,TRM,GR,AFLA,308.39
"Trilogy-RM-21,8PPB-18",21.8,TRM,TRM,GR,AFLA,21.39
"TEST-AFLA-4,6PPB-6",4.6,TRM,TRM,GR,AFLA,10.37
"Trilogy-RM-AFLA-310,5PPB-63",310.5,TRM,TRM,GR,AFLA,303.2
"TRM-AFLA-21,8-13",21.8,TRM,TRM,GR,AFLA,21.79
Trilogy-RM-AFLA-233PPB-48,233.0,TRM,TRM,GR,AFLA,232.77
C-P-AS-183653,16.2,TRM,TRM,GR,AFLA,4.93
"TEST-AFLA-18,8PPB-103",18.8,TRM,TRM,GR,AFLA,22.62
"Trilogy-RM-21,8PPB-15",21.8,TRM,TRM,GR,AFLA,21.86
C-R-AS-183060,0.0,TCS,TCS,AS,AFLA,0.88
TEST-AFLA-0PPB-117,0.0,TRM,TRM,GR,AFLA,5.51
"TEST-AFLA-87,9PPB-146",87.9,TRM,TRM,GR,AFLA,86.24
"Trilogy-RM-18,8PPB-3",18.8,TRM,TRM,GR,AFLA,8.77
Trilogy-RM-AFLA-233PPB-50,233.0,TRM,TRM,GR,AFLA,230.03
"Trilogy-RM-AFLA-310,5PPB-54",310.5,TRM,TRM,GR,AFLA,311.65
"Trilogy-RM-4,6PPB-42",4.6,TRM,TRM,GR,AFLA,4.69
"Trilogy-RM-4,6PPB-50",4.6,TRM,TRM,GR,AFLA,4.58
"TEST-AFLA-21,8PPB-101",21.8,TRM,TRM,GR,AFLA,20.97
C-P-AS-183644,1.0,TRM,TRM,GR,AFLA,27.01
C-P-AS-183621,0.0,TRM,TRM,GR,AFLA,16.75
"Trilogy-RM-AFLA-18,8PPB-16",18.8,TRM,TRM,GR,AFLA,18.58
"TEST-AFLA-51,8PPB-142",51.8,TRM,TRM,GR,AFLA,17.77
"TEST-AFLA-17,3PPB-7",17.3,TRM,TRM,GR,AFLA,18.46
"Trilogy-RM-AFLA-18,8PPB-18",18.8,TRM,TRM,GR,AFLA,20.89
"TEST-AFLA-52,2PPB-107",52.2,TRM,TRM,GR,AFLA,70.19
"Trilogy-RM-4,6PPB-58",4.6,TRM,TRM,GR,AFLA,4.39
"Trilogy-RM-AFLA-17,3PPB-11",17.3,TRM,TRM,GR,AFLA,13.63
C-P-AS-183657,0.0,TRM,TRM,GR,AFLA,18.23
"Trilogy-RM-21,8PPB-35",4.6,TRM,TRM,GR,AFLA,15.39
"TRM-AFLA-21,8-2",21.8,TRM,TRM,GR,AFLA,21.86
C-P-AS-123358,310.5,TRM,TRM,GR,AFLA,287.74
"TEST-AFLA-4,8PPB-3",4.8,TRM,TRM,GR,AFLA,5.26
"Trilogy-RM-21,8PPB-17",21.8,TRM,TRM,GR,AFLA,20.58
"TEST-AFLA-310,5PPB-158",310.5,TRM,TRM,GR,AFLA,289.97
"TEST-AFLA-310,5PPB-1",310.5,TRM,TRM,GR,AFLA,310.44
"Trilogy-RM-AFLA-18,8PPB-31",18.8,TRM,TRM,GR,AFLA,19.81
C-P-AS-183645,4.5,TRM,TRM,GR,AFLA,9.34
C-R-AS-182789,3.7,TCS,TCS,AS,AFLA,0.0
"Trilogy-RM-21,8PPB-22",4.6,TRM,TRM,GR,AFLA,4.11
"Trilogy-RM-AFLA-310,5PPB-53",310.5,TRM,TRM,GR,AFLA,312.0
"Trilogy-RM-4,6PPB-59",4.6,TRM,TRM,GR,AFLA,4.69
"Trilogy-RM-AFLA-18,8PPB-32",18.8,TRM,TRM,GR,AFLA,19.09
"TEST-AFLA-4,8PPB-5",4.8,TRM,TRM,GR,AFLA,4.22
"Trilogy-RM-AFLA-17,3PPB-2",17.3,TRM,TRM,GR,AFLA,10.93
C-P-AS-183608,0.0,TRM,TRM,GR,AFLA,16.98
"TEST-AFLA-310,5PPB-1",310.5,TRM,TRM,GR,AFLA,310.0
"Trilogy-RM-4,6PPB-49",4.6,TRM,TRM,GR,AFLA,4.62
"TEST-AFLA-4,6PPB-136",4.6,TRM,TRM,GR,AFLA,28.24
"TRM-AFLA-21,8-1",21.8,TRM,TRM,GR,AFLA,22.06
"Trilogy-RM-AFLA-310,5PPB-77",310.0,TRM,TRM,GR,AFLA,308.37
C-P-AS-121127,18.8,TRM,TRM,GR,AFLA,9.65
