hsi_sample_id,y_true,source,location,type,mycotoxin,y_pred
C-P-AS-183613,800.0,TRM,TRM,GR,DON,738.09
C-P-AS-183656,300.0,TRM,TRM,GR,DON,4.21
TRILOGY-RM-DON-27600-107,27600.0,TRM,TRM,GR,DON,237.46
C-R-AS-183125,100.0,TCS,TCS,AS,DON,71.4
C-P-AS-183632,2700.0,TRM,TRM,GR,DON,741.52
C-P-AS-121142,2600.0,TRM,TRM,GR,DON,1933.1
C-P-AS-183621,1900.0,TRM,TRM,GR,DON,806.28
C-P-AS-183657,900.0,TRM,TRM,GR,DON,716.61
C-P-AS-183644,700.0,TRM,TRM,GR,DON,456.02
C-P-AS-183661,4500.0,TRM,TRM,GR,DON,4527.75
C-P-AS-183659,0.0,TRM,TRM,GR,DON,1868.39
GC-R-GR-180981,300.0,TCS,TCS,GR,DON,527.32
GC-R-GR-180084,100.0,TCS,TCS,GR,DON,261.66
GC-R-GR-179475,500.0,TCS,TCS,GR,DON,617.99
GC-R-GR-180076,1100.0,TCS,TCS,GR,DON,4154.06
GC-r-gr-181434,2800.0,TCS,TCS,gr,DON,123.0
GC-R-GR-180089,0.0,TCS,TCS,GR,DON,572.41
GC-R-GR-180078,0.0,TCS,TCS,GR,DON,0.45
GC-R-GR-182019,0.0,TCS,DR-Schaal,GR,DON,22.83
GC-R-AS-182019,0.0,TCS,DR-Schaal,AS,DON,3181.6
GC-R-AS-182020,0.0,TCS,DR-Schaal,AS,DON,73.05
GC-R-GR-183833,600.0,TCS,GPC,GR,DON,1398.64
GC-R-AS-183833,600.0,TCS,GPC,AS,DON,186.98
GC-R-AS-182018,0.0,TCS,DR-Schaal,AS,DON,401.67
GC-R-GR-183832,100.0,TCS,GPC,GR,DON,77.46
GC-R-GR-182020,0.0,TCS,DR-Schaal,GR,DON,9.3
C-R-AS-183572,100.0,TCS,TCS,AS,DON,72.39
C-R-AS-183060,500.0,TCS,TCS,AS,DON,87.28
C-R-AS-183451,2300.0,TCS,TCS,AS,DON,1771.85
C-R-AS-182789,500.0,TCS,TCS,AS,DON,293.27
C-R-AS-183135,0.0,TCS,TCS,AS,DON,148.82
GC-R-AS-185781,6800.0,TCS,Anderson,AS,DON,4798.04
GC-R-AS-185784,7900.0,TCS,Anderson,AS,DON,4798.04
GC-R-AS-185772,6800.0,TCS,Anderson,AS,DON,4798.04
GC-R-AS-185775,6900.0,TCS,Anderson,AS,DON,4795.16
GC-R-AS-185783,7000.0,TCS,Anderson,AS,DON,4789.98
GC-R-AS-185779,4200.0,TCS,Anderson,AS,DON,3547.87
GC-R-AS-185785,6400.0,TCS,Anderson,AS,DON,4795.16
GC-R-AS-185777,6800.0,TCS,Anderson,AS,DON,1849.35
GC-R-AS-185771,6500.0,TCS,Anderson,AS,DON,3605.51
GC-R-AS-185778,6900.0,TCS,Anderson,AS,DON,3621.97
GC-R-AS-185681,11500.0,TCS,Poet,AS,DON,4724.71
GC-R-AS-185679,8800.0,TCS,Poet,AS,DON,4665.24
GC-R-AS-185675,7600.0,TCS,Poet,AS,DON,2876.37
GC-R-AS-185676,4800.0,TCS,Poet,AS,DON,4554.9
GC-R-AS-185684,23600.0,TCS,Poet,AS,DON,4809.47
