sample_id,uname,date,time,test,result,unit,confidence_score,galaxy_version,model_version,local_hsi_link,s3_hsi_link,s3_model_path,response_time,customer_name
"#405_185,_#2_2023-09-29_15-59-48",imagoai_icp,2024-03-04,11:27:34,aflatoxin,0.98,PPB,NA,4.6.0,v1.3,"E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\#405_185,_#2_2023-09-29_15-59-48\#405_185,_#2_2023-09-29_15-59-48.png",NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,10,NULL
"#405_185,_#2_2023-09-29_15-59-48",imagoai_icp,2024-03-04,11:27:34,fumonisin,0.58,PPM,NA,4.6.0,v1.3,"E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\#405_185,_#2_2023-09-29_15-59-48\#405_185,_#2_2023-09-29_15-59-48.png",NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,10,NULL
"#405_185,_#2_2023-09-29_15-59-48",imagoai_icp,2024-03-04,11:27:34,vomitoxin,0.7,PPM,NA,4.6.0,v1.3,"E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\#405_185,_#2_2023-09-29_15-59-48\#405_185,_#2_2023-09-29_15-59-48.png",NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/DON/galaxy_model.gz,10,NULL
00_12MG_Corn-Grading_0456,imagoai_dev,2023-12-30,01:09:17,aflatoxin,1.19,PPB,NA,4.6.0,v1.4,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\Corn_Damage\00_12MG_Corn-Grading_0456\00_12MG_Corn-Grading_0456.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/AFLA/galaxy_model.gz,6,Emma
00_12MG_Corn-Grading_0456,imagoai_dev,2023-12-23,12:39:49,vomitoxin,786.39,PPM,NA,4.6.0,v1.4,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\Corn_Damage\00_12MG_Corn-Grading_0456\00_12MG_Corn-Grading_0456.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,16,Liam
231050,imagoai_icp,2023-11-01,09:24:14,aflatoxin,1.31,PPB,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\0231050\0231050.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,10,NULL
231050,imagoai_icp,2023-11-01,09:24:14,fumonisin,0.63,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\0231050\0231050.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,10,NULL
231050,imagoai_icp,2023-11-01,09:24:14,vomitoxin,0.78,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\0231050\0231050.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/DON/galaxy_model.gz,10,NULL
231115,imagoai_icp,2023-11-29,01:24:23,aflatoxin,0.72,PPB,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\0231115\0231115.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,5,NULL
231115,imagoai_icp,2023-11-29,01:24:23,fumonisin,0.68,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\0231115\0231115.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,5,NULL
